Fecha;Localidad;Temperatura
2017-01-11 10:00:00;Albacete-Chinchilla de Monte-Aragón;5,0
2017-01-11 10:00:00;Badajoz-Badajoz;10,0
2017-01-11 10:00:00;Badajoz-Pueblonuevo del Guadiana;10,0
2017-01-11 10:00:00;Badajoz-Talavera la Real;10,0
2017-01-11 10:00:00;Barcelona-Sant Climent de Llobregat;8,0
2017-01-11 10:00:00;Barcelona-Viladecans;8,0
2017-01-11 10:00:00;Cantabria-Camargo;12,0
2017-01-11 10:00:00;Cantabria-Santa Cruz de Bezana;12,0
2017-01-11 10:00:00;Córdoba-Córdoba;10,0
2017-01-11 10:00:00;Córdoba-Palma del Río;10,0
2017-01-11 10:00:00;Madrid-Alcobendas;9,0
2017-01-11 10:00:00;Madrid-Coslada;9,0
2017-01-11 10:00:00;Madrid-Madrid;10,0
2017-01-11 10:00:00;Madrid-Torrejón de Ardoz;9,0
2017-01-11 10:00:00;Málaga-Alhaurín de la Torre;15,0
2017-01-11 10:00:00;Málaga-Cártama;14,0
2017-01-11 10:00:00;Málaga-Málaga;15,0
2017-01-11 10:00:00;València/Valencia-Aldaia;12,0
2017-01-11 10:00:00;València/Valencia-Manises;12,0
2017-01-11 10:00:00;València/Valencia-Paterna;12,0
2017-01-11 10:00:00;València/Valencia-Quart de Poblet;12,0
2017-01-11 10:00:00;Valladolid-Arroyo de la Encomienda;7,0
2017-01-11 10:00:00;Valladolid-Cistérniga;6,0
2017-01-11 10:00:00;Valladolid-Valladolid;7,0
2017-01-11 10:00:00;Valladolid-Zaratán;7,0
2017-01-11 10:00:00;Zaragoza-Zaragoza;10,0
2017-01-11 11:00:00;A Coruña-Cambre;12,0
2017-01-11 11:00:00;A Coruña-Culleredo;12,0
2017-01-11 11:00:00;Albacete-Albacete;7,0
2017-01-11 11:00:00;Albacete-Chinchilla de Monte-Aragón;7,0
2017-01-11 11:00:00;Badajoz-Badajoz;12,0
2017-01-11 11:00:00;Badajoz-Pueblonuevo del Guadiana;12,0
2017-01-11 11:00:00;Badajoz-Talavera la Real;12,0
2017-01-11 11:00:00;Barcelona-Sant Climent de Llobregat;10,0
2017-01-11 11:00:00;Barcelona-Viladecans;10,0
2017-01-11 11:00:00;Cantabria-Camargo;12,0
2017-01-11 11:00:00;Cantabria-Santa Cruz de Bezana;12,0
2017-01-11 11:00:00;Córdoba-Córdoba;12,0
2017-01-11 11:00:00;Córdoba-Palma del Río;13,0
2017-01-11 11:00:00;Madrid-Alcobendas;11,0
2017-01-11 11:00:00;Madrid-Coslada;11,0
2017-01-11 11:00:00;Madrid-Madrid;12,0
2017-01-11 11:00:00;Madrid-Torrejón de Ardoz;11,0
2017-01-11 11:00:00;Málaga-Alhaurín de la Torre;17,0
2017-01-11 11:00:00;Málaga-Cártama;16,0
2017-01-11 11:00:00;Málaga-Málaga;17,0
2017-01-11 11:00:00;València/Valencia-Aldaia;15,0
2017-01-11 11:00:00;València/Valencia-Manises;15,0
2017-01-11 11:00:00;València/Valencia-Paterna;15,0
2017-01-11 11:00:00;València/Valencia-Quart de Poblet;15,0
2017-01-11 11:00:00;Valladolid-Arroyo de la Encomienda;9,0
2017-01-11 11:00:00;Valladolid-Cistérniga;8,0
2017-01-11 11:00:00;Valladolid-Valladolid;9,0
2017-01-11 11:00:00;Valladolid-Zaratán;9,0
2017-01-11 11:00:00;Zaragoza-Zaragoza;12,0
2017-01-11 12:00:00;A Coruña-Cambre;13,0
2017-01-11 12:00:00;A Coruña-Culleredo;13,0
2017-01-11 12:00:00;Albacete-Albacete;9,0
2017-01-11 12:00:00;Albacete-Chinchilla de Monte-Aragón;8,0
2017-01-11 12:00:00;Badajoz-Badajoz;15,0
2017-01-11 12:00:00;Badajoz-Pueblonuevo del Guadiana;14,0
2017-01-11 12:00:00;Badajoz-Talavera la Real;14,0
2017-01-11 12:00:00;Barcelona-Sant Climent de Llobregat;11,0
2017-01-11 12:00:00;Barcelona-Viladecans;11,0
2017-01-11 12:00:00;Cantabria-Camargo;13,0
