,Provincia,Fecha,Temperatura,Comunidad,Zona
72,Albacete,2017-01-14 07:00:00,-1.0,Castilla la Mancha,Centro
73,Albacete,2017-01-14 08:00:00,-0.5,Castilla la Mancha,Centro
74,Albacete,2017-01-14 09:00:00,0.0,Castilla la Mancha,Centro
75,Albacete,2017-01-14 10:00:00,2.0,Castilla la Mancha,Centro
76,Albacete,2017-01-14 11:00:00,4.0,Castilla la Mancha,Centro
77,Albacete,2017-01-14 12:00:00,5.5,Castilla la Mancha,Centro
78,Albacete,2017-01-14 13:00:00,6.5,Castilla la Mancha,Centro
79,Albacete,2017-01-14 14:00:00,7.5,Castilla la Mancha,Centro
80,Albacete,2017-01-14 15:00:00,8.0,Castilla la Mancha,Centro
81,Albacete,2017-01-14 16:00:00,6.5,Castilla la Mancha,Centro
82,Albacete,2017-01-14 17:00:00,5.0,Castilla la Mancha,Centro
83,Albacete,2017-01-14 18:00:00,4.0,Castilla la Mancha,Centro
84,Albacete,2017-01-14 19:00:00,3.0,Castilla la Mancha,Centro
85,Albacete,2017-01-14 20:00:00,2.0,Castilla la Mancha,Centro
86,Albacete,2017-01-14 21:00:00,1.0,Castilla la Mancha,Centro
87,Albacete,2017-01-14 22:00:00,1.0,Castilla la Mancha,Centro
88,Albacete,2017-01-14 23:00:00,0.5,Castilla la Mancha,Centro
89,Albacete,2017-01-15 00:00:00,0.0,Castilla la Mancha,Centro
90,Albacete,2017-01-15 01:00:00,-0.5,Castilla la Mancha,Centro
91,Albacete,2017-01-15 02:00:00,-1.5,Castilla la Mancha,Centro
92,Albacete,2017-01-15 03:00:00,-1.5,Castilla la Mancha,Centro
93,Albacete,2017-01-15 04:00:00,-2.0,Castilla la Mancha,Centro
94,Albacete,2017-01-15 05:00:00,-2.5,Castilla la Mancha,Centro
95,Albacete,2017-01-15 06:00:00,-2.5,Castilla la Mancha,Centro
96,Albacete,2017-01-15 07:00:00,-0.5,Castilla la Mancha,Centro
97,Albacete,2017-01-15 08:00:00,1.0,Castilla la Mancha,Centro
98,Albacete,2017-01-15 09:00:00,2.5,Castilla la Mancha,Centro
99,Albacete,2017-01-15 10:00:00,3.5,Castilla la Mancha,Centro
100,Albacete,2017-01-15 11:00:00,5.0,Castilla la Mancha,Centro
101,Albacete,2017-01-15 12:00:00,6.0,Castilla la Mancha,Centro
102,Albacete,2017-01-15 13:00:00,7.0,Castilla la Mancha,Centro
103,Albacete,2017-01-15 14:00:00,8.5,Castilla la Mancha,Centro
104,Albacete,2017-01-15 15:00:00,8.0,Castilla la Mancha,Centro
105,Albacete,2017-01-15 16:00:00,7.5,Castilla la Mancha,Centro
106,Albacete,2017-01-15 17:00:00,6.5,Castilla la Mancha,Centro
107,Albacete,2017-01-15 18:00:00,5.5,Castilla la Mancha,Centro
108,Albacete,2017-01-15 19:00:00,5.5,Castilla la Mancha,Centro
109,Albacete,2017-01-15 20:00:00,5.0,Castilla la Mancha,Centro
110,Albacete,2017-01-15 21:00:00,4.5,Castilla la Mancha,Centro
111,Albacete,2017-01-15 22:00:00,4.0,Castilla la Mancha,Centro
112,Albacete,2017-01-15 23:00:00,4.0,Castilla la Mancha,Centro
113,Albacete,2017-01-16 00:00:00,3.5,Castilla la Mancha,Centro
114,Albacete,2017-01-16 01:00:00,3.5,Castilla la Mancha,Centro
115,Albacete,2017-01-16 02:00:00,3.0,Castilla la Mancha,Centro
116,Albacete,2017-01-16 03:00:00,2.5,Castilla la Mancha,Centro
117,Albacete,2017-01-16 04:00:00,2.5,Castilla la Mancha,Centro
118,Albacete,2017-01-16 05:00:00,2.0,Castilla la Mancha,Centro
119,Albacete,2017-01-16 06:00:00,1.5,Castilla la Mancha,Centro
120,Albacete,2017-01-16 07:00:00,2.5,Castilla la Mancha,Centro
121,Albacete,2017-01-16 08:00:00,2.5,Castilla la Mancha,Centro
122,Albacete,2017-01-16 09:00:00,3.0,Castilla la Mancha,Centro
123,Albacete,2017-01-16 10:00:00,4.5,Castilla la Mancha,Centro
124,Albacete,2017-01-16 11:00:00,5.5,Castilla la Mancha,Centro
125,Albacete,2017-01-16 12:00:00,7.0,Castilla la Mancha,Centro
126,Albacete,2017-01-16 13:00:00,9.0,Castilla la Mancha,Centro
127,Albacete,2017-01-16 14:00:00,10.0,Castilla la Mancha,Centro
128,Albacete,2017-01-16 15:00:00,10.0,Castilla la Mancha,Centro
129,Albacete,2017-01-16 16:00:00,10.5,Castilla la Mancha,Centro
130,Albacete,2017-01-16 17:00:00,9.5,Castilla la Mancha,Centro
131,Albacete,2017-01-16 18:00:00,8.5,Castilla la Mancha,Centro
132,Albacete,2017-01-16 19:00:00,7.5,Castilla la Mancha,Centro
133,Albacete,2017-01-16 20:00:00,7.0,Castilla la Mancha,Centro
134,Albacete,2017-01-16 21:00:00,7.0,Castilla la Mancha,Centro
135,Albacete,2017-01-16 22:00:00,6.0,Castilla la Mancha,Centro
136,Albacete,2017-01-16 23:00:00,5.5,Castilla la Mancha,Centro
137,Albacete,2017-01-17 00:00:00,5.0,Castilla la Mancha,Centro
138,Albacete,2017-01-17 01:00:00,4.5,Castilla la Mancha,Centro
139,Albacete,2017-01-17 02:00:00,4.0,Castilla la Mancha,Centro
140,Albacete,2017-01-17 03:00:00,4.0,Castilla la Mancha,Centro
141,Albacete,2017-01-17 04:00:00,4.0,Castilla la Mancha,Centro
142,Albacete,2017-01-17 05:00:00,4.0,Castilla la Mancha,Centro
143,Albacete,2017-01-17 06:00:00,4.0,Castilla la Mancha,Centro
144,Albacete,2017-01-17 07:00:00,4.5,Castilla la Mancha,Centro
145,Albacete,2017-01-17 08:00:00,4.0,Castilla la Mancha,Centro
146,Albacete,2017-01-17 09:00:00,5.0,Castilla la Mancha,Centro
147,Albacete,2017-01-17 10:00:00,5.5,Castilla la Mancha,Centro
148,Albacete,2017-01-17 11:00:00,6.0,Castilla la Mancha,Centro
149,Albacete,2017-01-17 12:00:00,7.0,Castilla la Mancha,Centro
150,Albacete,2017-01-17 13:00:00,7.0,Castilla la Mancha,Centro
151,Albacete,2017-01-17 14:00:00,7.0,Castilla la Mancha,Centro
152,Albacete,2017-01-17 15:00:00,6.5,Castilla la Mancha,Centro
153,Albacete,2017-01-17 16:00:00,5.5,Castilla la Mancha,Centro
154,Albacete,2017-01-17 17:00:00,3.5,Castilla la Mancha,Centro
155,Albacete,2017-01-17 18:00:00,2.0,Castilla la Mancha,Centro
156,Albacete,2017-01-17 19:00:00,1.5,Castilla la Mancha,Centro
